1/25/20 0 1.0
1/26/20 1 0.9267715113341058
1/27/20 2 0.9015549457234168
1/28/20 3 0.9102921688940067
1/29/20 4 0.9434869898964108
1/30/20 5 0.9956757741755345
1/31/20 6 1.0641142453195496
2/1/20 7 1.1460826911321529
2/2/20 8 1.2404096424120499
2/3/20 9 1.3467541225794508
2/4/20 10 1.465152048131179
2/5/20 11 1.596110435890427
2/6/20 12 1.7401314859660002
2/7/20 13 1.8981579190147753
2/8/20 14 2.0716433064893174
2/9/20 15 2.2615378157039974
2/10/20 16 2.468817434313374
2/11/20 17 2.695871681806063
2/12/20 18 2.9431640460651893
2/13/20 19 3.213991612105776
2/14/20 20 3.5091725570007495
2/15/20 21 3.8347556061616377
2/16/20 22 4.1957605767364825
2/17/20 23 4.592187468725284
2/18/20 24 5.024036282128043
2/19/20 25 5.491307016944758
2/20/20 26 5.994335210469847
2/21/20 27 6.5487107590812235
2/22/20 28 7.162933042721057
2/23/20 29 7.8370020613893425
2/24/20 30 8.570917815086084
2/25/20 31 9.364680303811276
2/26/20 32 10.219948017540528
2/27/20 33 11.16576771031242
2/28/20 34 12.21274879781066
2/29/20 35 13.360891280035249
3/01/20 36 14.610195156986192
3/02/20 37 15.960660428663484
3/03/20 38 17.416927810105715
3/04/20 39 19.021733927547448
3/05/20 40 20.785439057308853
3/06/20 41 22.708043199389923
3/07/20 42 24.79137311306202
3/08/20 43 27.082153221037196
3/09/20 44 29.600833172770894
3/10/20 45 32.347412968263114
3/11/20 46 35.32204885402628
3/12/20 47 38.57417209500474
3/13/20 48 42.14313865192805
3/14/20 49 46.0289485247962
3/15/20 50 50.25959240100754
3/16/20 51 54.909850705942304
3/17/20 52 59.98379760706142
3/18/20 53 65.49120018259053
3/19/20 54 71.52755798137517
3/20/20 55 78.11708687128994
3/21/20 56 85.29078157816589
3/22/20 57 93.15870956281823
3/23/20 58 101.73057428366316
3/24/20 59 111.00898806586467
3/25/20 60 121.32474251510995
3/26/20 61 132.47824547570093
3/27/20 62 144.59930459570148
3/28/20 63 157.82634151970151
3/29/20 64 172.27419197255713
3/30/20 65 188.06079935385205
3/31/20 66 205.31408399634697
4/1/20 67 224.1564481395095
4/2/20 68 244.7111980558157
4/3/20 69 267.15862534049046
4/4/20 70 291.680417712664
4/5/20 71 318.43917504888594
4/6/20 72 347.6288460095066
4/7/20 73 379.5237221501526
4/8/20 74 414.3494234363228
4/9/20 75 452.33207490674397
4/10/20 76 493.80001971223413
4/11/20 77 539.08291741932
4/12/20 78 588.494521583032
4/13/20 79 642.4590241312416
4/14/20 80 701.3786505306787
4/15/20 81 765.6650720468006
4/16/20 82 835.8783114804065
4/17/20 83 912.5260433353947
4/18/20 84 996.1526066404429
4/19/20 85 1087.466729771835
4/20/20 86 1187.1253400619253
4/21/20 87 1295.9403934590785
4/22/20 88 1414.7173360461436
4/23/20 89 1544.3688053780195
4/24/20 90 1685.9238495731609
4/25/20 91 1840.434490920426
4/26/20 92 2009.0810800451861
4/27/20 93 2193.153569791916
4/28/20 94 2394.0340201271692
4/29/20 95 2613.2948478276007
4/30/20 96 2852.6388348185137
5/1/20 97 3113.895527152753
5/2/20 98 3399.066720042386
5/3/20 99 3710.3449226814555
5/4/20 100 4050.114612617561
5/5/20 101 4420.937202930516
5/6/20 102 4825.683357736582
5/7/20 103 5267.436925502076
5/8/20 104 5749.54373561707
5/9/20 105 6275.743609225394
5/10/20 106 6849.991488841095
5/11/20 107 7476.67072101809
5/12/20 108 8160.571814573847
5/13/20 109 8906.87236009467
5/14/20 110 9721.237933894961
5/15/20 111 10609.860267665277
5/16/20 112 11579.489708373454
5/17/20 113 12637.47212386908
5/18/20 114 13791.796227377592
5/19/20 115 15051.14499946115
5/20/20 116 16425.01040636606
5/21/20 117 17923.726617059463
5/22/20 118 19558.494491932222
5/23/20 119 21341.554005431404
5/24/20 120 23286.223568136786
5/25/20 121 25406.929323437154
5/26/20 122 27719.41185597135
5/27/20 123 30240.776867382916
5/28/20 124 32989.537199028884
5/29/20 125 35985.86088642876
5/30/20 126 39251.633467547865
5/31/20 127 42810.51279032926
6/1/20 128 46688.21662262243
6/2/20 129 50912.60036139606
6/3/20 130 55513.72953058501
6/4/20 131 60524.20085656351
6/5/20 132 65979.23845791546
6/6/20 133 71916.78632061084
6/7/20 134 78377.8169478216
6/8/20 135 85406.52009532366
6/9/20 136 93050.36497509942
6/10/20 137 101360.2473778996
6/11/20 138 110390.74701010516
6/12/20 139 120200.33480366351
6/13/20 140 130851.4911947069
6/14/20 141 142410.87447589356
6/15/20 142 154949.4354399008
6/16/20 143 168542.22944458123
6/17/20 144 183268.68074257707
6/18/20 145 199212.39177362452
6/19/20 146 216461.2718471448
6/20/20 147 235107.35685304707
6/21/20 148 255246.31952467677
6/22/20 149 276976.9862891647
6/23/20 150 300401.08933172177
6/24/20 151 325622.57237720577
6/25/20 152 352746.60715316026
6/26/20 153 381878.55996717076
6/27/20 154 413122.8109153703
6/28/20 155 446581.1964433638
6/29/20 156 482351.2500300103
6/30/20 157 520524.3152390911
7/1/20 158 561182.9076048913
7/2/20 159 604398.4581852009
7/3/20 160 650228.3467196967
7/4/20 161 698712.7209391982
7/5/20 162 749871.3347509798
7/6/20 163 803699.9589027405
7/7/20 164 860166.4468042658
7/8/20 165 919207.4242284109
7/9/20 166 980724.7713748656
7/10/20 167 1044582.124378254
7/11/20 168 1110601.9439877854
7/12/20 169 1178563.027858743
7/13/20 170 1248198.7275772663
7/14/20 171 1319196.0217704722
7/15/20 172 1391195.7222866665
