1/25/20   0.9444496847466678
1/26/20   0.9269588625404696
1/27/20   0.9182467826290672
1/28/20   0.9478827398299711
1/29/20   1.0030570814315867
1/30/20   1.074806685158663
1/31/20   1.158615653740407
2/1/20   1.2542001504797058
2/2/20   1.3617853226440686
2/3/20   1.4816667176115923
2/4/20   1.6142515618062443
2/5/20   1.760575433407045
2/6/20   1.920897265991257
2/7/20   2.0967605833891922
2/8/20   2.288867474860756
2/9/20   2.498799411030339
2/10/20   2.7282494030783666
2/11/20   2.978742325384151
2/12/20   3.254045976972966
2/13/20   3.5543357099649433
2/14/20   3.880493823951958
2/15/20   4.238857511924948
2/16/20   4.630678333778612
2/17/20   5.056111526710181
2/18/20   5.52234389865674
2/19/20   6.033289182745147
2/20/20   6.588947378975399
2/21/20   7.1987807038164915
2/22/20   7.877811419868206
2/23/20   8.626229972792073
2/24/20   9.444036362588086
2/25/20   10.331230589256256
2/26/20   11.287812652796575
2/27/20   12.318917451042015
2/28/20   13.464924935997601
2/29/20   14.734460191735044
3/1/20   16.127523218254346
3/2/20   17.644114015555502
3/3/20   19.284232583638513
3/4/20   21.047878922503376
3/5/20   22.982839948446845
3/6/20   25.137804122990367
3/7/20   27.5127725066657
3/8/20   30.107745099472844
3/9/20   32.9227219014118
3/10/20   35.95770291248256
3/11/20   39.23960967933486
3/12/20   42.89897096666633
3/13/20   46.95308188816434
3/14/20   51.40194244382886
3/15/20   56.24555263365991
3/16/20   61.483912457657496
3/17/20   67.11702191582158
3/18/20   73.28914352621064
3/19/20   80.17790605528626
3/20/20   87.7837783695254
3/21/20   96.10676046892809
3/22/20   105.1468523534943
3/23/20   114.904054023224
3/24/20   125.39049830315015
3/25/20   136.76072093733654
3/26/20   149.11788205290333
3/27/20   162.63373992641047
3/28/20   177.43944404535026
3/29/20   193.65138196514067
3/30/20   211.3857972298978
3/31/20   230.76676730604245
4/1/20   251.92094895443918
4/2/20   275.01851738998425
4/3/20   300.22628073557416
4/4/20   327.7643863129883
4/5/20   357.8365954498283
4/6/20   390.6466694736962
4/7/20   426.4353009292909
4/8/20   465.58160449823265
4/9/20   508.376065611638
4/10/20   555.0967263217938
4/11/20   606.0216286809863
4/12/20   661.5533159701283
4/13/20   722.3056970695236
4/14/20   788.7093132479893
4/15/20   861.1878467113494
4/16/20   940.1649796654289
4/17/20   1026.360661177837
4/18/20   1120.6634883441025
4/19/20   1223.7217391616362
4/20/20   1336.1836057015921
4/21/20   1458.706572045278
4/22/20   1592.453628547764
4/23/20   1738.6191965852593
4/24/20   1898.1997179702537
4/25/20   2072.236520166008
